user_id,desire_type,budget
201,Crossover,52253
202,Sedan,60841
203,Station Wagon,47264
204,Pickup Truck,39652
205,Minivan,28255
206,Crossover,42300
207,Convertible,57286
208,Crossover,33846
209,Hatchback,45501
210,Hatchback,30752
211,SUV,44673
212,Sedan,51559
213,SUV,52444
214,Minivan,40871
215,Station Wagon,49151
216,Hatchback,43995
217,Sports Car,54712
218,Sports Car,60372
219,Pickup Truck,33282
220,Coupe,50381
221,Coupe,40603
222,Station Wagon,66972
223,SUV,51973
224,Pickup Truck,48551
225,Station Wagon,37622
226,Convertible,46748
227,Crossover,46254
228,Pickup Truck,44818
229,Crossover,44718
230,Sedan,40198
231,Sports Car,59472
232,Station Wagon,36050
233,Pickup Truck,56403
234,Sports Car,30007
235,Hatchback,56295
236,Minivan,47842
237,SUV,51054
238,Crossover,42825
239,Sports Car,35978
240,Sedan,35802
241,SUV,42797
242,Convertible,54778
243,Coupe,51897
244,Pickup Truck,31539
245,Hatchback,58921
246,Sedan,49962
247,Station Wagon,52682
248,Minivan,39696
249,Coupe,38170
250,Minivan,33848
251,Convertible,34262
252,Hatchback,50336
253,Coupe,46859
254,Sedan,52215
255,Convertible,54263
256,Pickup Truck,36220
257,Sports Car,37771
258,Hatchback,56683
259,Sports Car,36099
260,Sports Car,58527
261,Minivan,44614
262,Sports Car,36186
263,Minivan,46888
264,Sports Car,34324
265,Convertible,34626
266,SUV,33435
267,Crossover,47106
268,Convertible,55890
269,Crossover,52183
270,Sedan,42099
271,Coupe,37231
272,Crossover,48965
273,Convertible,33366
274,Pickup Truck,43477
275,SUV,39995
276,Crossover,43791
277,Crossover,38803
278,Convertible,44103
279,Sports Car,41535
280,Coupe,63429
281,Minivan,61589
282,Sedan,47720
283,Sports Car,36835
284,Hatchback,60911
285,Coupe,59583
286,Crossover,60202
287,Crossover,37840
288,Convertible,47118
289,SUV,43508
290,Crossover,48349
291,Station Wagon,40811
292,Minivan,35638
293,Hatchback,39791
294,Convertible,37125
295,Sedan,47492
296,SUV,49923
297,Hatchback,41013
298,Coupe,45105
299,Coupe,37432
300,Convertible,55893
301,Crossover,56617
302,Pickup Truck,50539
303,Convertible,39768
304,Coupe,41392
305,SUV,32228
306,Sports Car,39724
307,Sports Car,43795
308,Sports Car,42418
309,Station Wagon,39336
310,Coupe,21666
311,Pickup Truck,36622
312,Sedan,37679
313,Sports Car,47708
314,Convertible,60514
315,Pickup Truck,54505
316,Sports Car,33705
317,Sports Car,48152
318,Pickup Truck,44392
319,Crossover,51266
320,Crossover,53604
321,Coupe,49353
322,Sports Car,56936
323,Crossover,45864
324,Sports Car,31836
325,Sports Car,39356
326,Crossover,45841
327,Convertible,56746
328,Hatchback,35802
329,Sports Car,58912
330,Crossover,57292
331,Minivan,41581
332,Sedan,54797
333,Minivan,42399
334,Sports Car,37825
335,Minivan,50239
336,Crossover,59504
337,Pickup Truck,38162
338,SUV,48072
339,Sports Car,26681
340,Coupe,46750
341,SUV,22631
342,Pickup Truck,39256
343,Sports Car,44425
344,Crossover,59055
345,Pickup Truck,60809
346,Pickup Truck,42410
347,SUV,45641
348,Pickup Truck,45294
349,Convertible,34385
350,Coupe,44376
351,SUV,41172
352,Coupe,46379
353,Convertible,45889
354,Sports Car,49610
355,Station Wagon,40218
356,Sports Car,44905
357,SUV,55379
358,Convertible,52020
359,Convertible,43193
360,Station Wagon,63247
361,Coupe,47476
362,Coupe,42770
363,Pickup Truck,34898
364,Minivan,45737
365,Sports Car,60112
366,Sedan,30286
367,Hatchback,50844
368,Hatchback,30209
369,Sedan,33130
370,Hatchback,48400
371,Hatchback,47518
372,Pickup Truck,43934
373,Crossover,33355
374,Station Wagon,54576
375,Coupe,50217
376,Crossover,48242
377,Convertible,28134
378,Convertible,44999
379,SUV,36730
380,Coupe,40175
381,Pickup Truck,51769
382,Pickup Truck,31503
383,Sports Car,41219
384,Coupe,39538
385,Station Wagon,37820
386,Sports Car,52483
387,SUV,39428
388,Minivan,46094
389,Pickup Truck,41553
390,Minivan,42129
391,Pickup Truck,44752
392,Convertible,47446
393,Sports Car,60673
394,SUV,63660
395,Sedan,39949
396,Station Wagon,30745
397,SUV,56246
398,Convertible,40475
399,Pickup Truck,47099
400,Hatchback,53008
401,SUV,50829
402,Minivan,58307
403,Coupe,42708
404,Coupe,52216
405,Coupe,57885
406,Sports Car,38530
407,SUV,35467
408,Pickup Truck,46444
409,Hatchback,36214
410,Pickup Truck,38909
411,SUV,34437
412,Minivan,39039
413,Coupe,36743
414,Convertible,44480
415,Convertible,48079
416,Pickup Truck,44046
417,Crossover,52938
418,Minivan,58111
419,Convertible,63916
420,Sports Car,43707
421,SUV,51776
422,Minivan,47529
423,Coupe,47190
424,Hatchback,36148
425,Hatchback,49745
426,Station Wagon,40481
427,SUV,34142
428,Convertible,65298
429,Sports Car,43931
430,Coupe,63761
431,Station Wagon,44416
432,Minivan,55819
433,Sedan,42592
434,Minivan,41563
435,Coupe,57881
436,Sedan,38105
437,SUV,42564
438,SUV,37292
439,Convertible,32714
440,Minivan,42382
441,Sedan,43626
442,Pickup Truck,70218
443,Coupe,43110
444,Station Wagon,41808
445,Pickup Truck,43583
446,Hatchback,46589
447,Minivan,39826
448,Convertible,58406
449,Hatchback,43581
450,Sedan,36295
451,SUV,60459
452,SUV,35201
453,Hatchback,58546
454,SUV,39743
455,Sedan,42928
456,SUV,34809
457,Convertible,51055
458,Hatchback,50840
459,Crossover,68625
460,Sports Car,47202
461,Pickup Truck,47665
462,Station Wagon,24065
463,Hatchback,52451
464,SUV,45645
465,Hatchback,46139
466,Pickup Truck,49251
467,SUV,30714
468,Crossover,39301
469,Hatchback,62142
470,Sports Car,36437
471,Minivan,53684
472,Station Wagon,50785
473,SUV,36790
474,Coupe,50496
475,Hatchback,46181
476,Pickup Truck,52828
477,Minivan,46580
478,Crossover,47514
479,Convertible,38005
480,SUV,51430
481,Minivan,49334
482,Hatchback,42579
483,Crossover,26027
484,Crossover,58720
485,Crossover,24927
486,Pickup Truck,51091
487,SUV,50596
488,SUV,68919
489,Pickup Truck,54567
490,Coupe,49189
491,Coupe,57641
492,Sedan,39018
493,Sports Car,44858
494,Minivan,37649
495,SUV,34419
496,Convertible,60283
497,Coupe,54626
498,Sports Car,48797
499,Sedan,57815
500,Coupe,40850
501,Crossover,34271
502,Pickup Truck,50845
503,Coupe,30591
504,Hatchback,43738
505,Hatchback,33257
506,Crossover,51963
507,Hatchback,35528
508,Sedan,48554
509,Coupe,51698
510,Minivan,72130
511,Coupe,36786
512,Sedan,50496
513,Sedan,38804
514,Station Wagon,42878
515,Coupe,45548
516,Convertible,41145
517,Sports Car,46403
518,Crossover,54211
519,Pickup Truck,49441
520,Hatchback,38549
521,Sports Car,49795
522,Sedan,55506
523,SUV,50604
524,Pickup Truck,52092
525,Station Wagon,40963
526,Pickup Truck,47096
527,Pickup Truck,53335
528,Sports Car,44653
529,Convertible,28448
530,SUV,44833
531,Minivan,38406
532,Station Wagon,34375
533,Crossover,35001
534,Pickup Truck,45693
535,Sedan,24282
536,Coupe,49596
537,Sports Car,23228
538,Sports Car,52285
539,Coupe,43681
540,Pickup Truck,53084
541,Convertible,48667
542,SUV,29689
543,Sports Car,40733
544,Pickup Truck,46204
545,Pickup Truck,36407
546,Convertible,55100
547,Crossover,32910
548,Crossover,57080
549,Crossover,42480
550,Hatchback,30037
551,SUV,48815
552,Minivan,47529
553,Crossover,41916
554,Sedan,41786
555,Convertible,51264
556,Coupe,37925
557,Pickup Truck,55044
558,Coupe,41279
559,Pickup Truck,44162
560,Pickup Truck,39355
561,Hatchback,38545
562,Convertible,39004
563,Sedan,53033
564,Minivan,40761
565,Station Wagon,38543
566,Convertible,45044
567,Hatchback,29930
568,Crossover,48002
569,Station Wagon,46857
570,Convertible,40776
571,Hatchback,62829
572,Station Wagon,37990
573,Coupe,32368
574,Coupe,37612
575,SUV,48346
576,Pickup Truck,43076
577,Sedan,43619
578,Station Wagon,53781
579,SUV,44797
580,Coupe,48686
581,Sports Car,30425
582,Crossover,41713
583,Pickup Truck,50391
584,Convertible,39504
585,Convertible,30522
586,Crossover,39168
587,Crossover,47125
588,Convertible,36717
589,Sports Car,40895
590,Hatchback,65843
591,Crossover,34054
592,SUV,47914
593,Pickup Truck,39212
594,Station Wagon,40628
595,SUV,64732
596,Pickup Truck,40764
597,SUV,27227
598,Minivan,38722
599,Sports Car,44097
600,Sports Car,66843
601,SUV,41841
602,Hatchback,51291
603,Convertible,49568
604,Coupe,26663
605,Coupe,41895
606,Pickup Truck,42762
607,Convertible,46349
608,Pickup Truck,34852
609,Pickup Truck,45743
610,Crossover,20684
611,Sports Car,35892
612,Sports Car,53407
613,Sedan,49827
614,Sports Car,39338
615,Crossover,55385
616,Hatchback,42206
617,Crossover,50364
618,Hatchback,45676
619,Pickup Truck,35633
620,SUV,35597
621,Pickup Truck,54117
622,Convertible,47838
623,SUV,43534
624,SUV,44819
625,Crossover,50753
626,Convertible,41001
627,Sports Car,53031
628,Convertible,51174
629,Hatchback,52964
630,Coupe,38416
631,Sports Car,48790
632,Crossover,36653
633,Crossover,28184
634,Crossover,62827
635,Sedan,48785
