make,model,year,selling_price,mileage,availability,fuel,transmission,mpg,description
Maruti,800 AC,2007,60000,43750.0,sold,Petrol,Manual,19.8,N/A
Maruti,Wagon R LXI Minor,2007,135000,31250.0,sold,Petrol,Manual,20.0,N/A
Hyundai,Verna 1.6 SX,2012,600000,62500.0,sold,Diesel,Manual,28.5,N/A
Datsun,RediGO T Option,2017,250000,28750.0,sold,Petrol,Manual,16.0,N/A
Honda,Amaze VX i-DTEC,2014,450000,88125.0,in stock,Diesel,Manual,19.5,N/A
Maruti,Alto LX BSIII,2007,140000,78125.0,sold,Petrol,Manual,25.2,N/A
Hyundai,Xcent 1.2 Kappa S,2016,550000,15625.0,sold,Petrol,Manual,20.0,N/A
Tata,Indigo Grand Petrol,2014,240000,37500.0,sold,Petrol,Manual,20.8,N/A
Hyundai,Creta 1.6 VTVT S,2015,850000,15625.0,sold,Petrol,Manual,26.4,N/A
Maruti,Celerio Green VXI,2017,365000,48750.0,sold,CNG,Manual,28.2,N/A
Chevrolet,Sail 1.2 Base,2015,260000,21875.0,sold,Petrol,Manual,29.9,N/A
Tata,Indigo Grand Petrol,2014,250000,62500.0,in stock,Petrol,Manual,22.0,N/A
Toyota,Corolla Altis 1.8 VL CVT,2018,1650000,15625.0,sold,Petrol,Automatic,25.1,N/A
Maruti,800 AC,2007,60000,43750.0,sold,Petrol,Manual,22.8,N/A
Maruti,Wagon R LXI Minor,2007,135000,31250.0,in stock,Petrol,Manual,28.7,N/A
Hyundai,Verna 1.6 SX,2012,600000,62500.0,sold,Diesel,Manual,15.0,N/A
Datsun,RediGO T Option,2017,250000,28750.0,sold,Petrol,Manual,18.7,N/A
Honda,Amaze VX i-DTEC,2014,450000,88125.0,sold,Diesel,Manual,17.8,N/A
Maruti,Alto LX BSIII,2007,140000,78125.0,sold,Petrol,Manual,23.2,N/A
Hyundai,Xcent 1.2 Kappa S,2016,550000,15625.0,in stock,Petrol,Manual,15.3,N/A
Tata,Indigo Grand Petrol,2014,240000,37500.0,sold,Petrol,Manual,29.7,N/A
Hyundai,Creta 1.6 VTVT S,2015,850000,15625.0,in stock,Petrol,Manual,25.5,N/A
Maruti,Celerio Green VXI,2017,365000,48750.0,sold,CNG,Manual,27.5,N/A
Chevrolet,Sail 1.2 Base,2015,260000,21875.0,sold,Petrol,Manual,27.5,N/A
Tata,Indigo Grand Petrol,2014,250000,62500.0,sold,Petrol,Manual,19.1,N/A
Toyota,Corolla Altis 1.8 VL CVT,2018,1650000,15625.0,in stock,Petrol,Automatic,25.8,N/A
Maruti,Ciaz VXi Plus,2015,585000,15000.0,in stock,Petrol,Manual,25.5,N/A
Hyundai,Venue SX Opt Diesel,2019,1195000,3125.0,sold,Diesel,Manual,30.2,N/A
Chevrolet,Enjoy TCDi LTZ 7 Seater,2013,390000,20625.0,sold,Diesel,Manual,25.7,N/A
Jaguar,XF 2.2 Litre Luxury,2014,1964999,17500.0,sold,Diesel,Automatic,24.8,N/A
Mercedes-Benz,New C-Class 220 CDI AT,2013,1425000,36875.0,sold,Diesel,Automatic,31.4,N/A
Maruti,Vitara Brezza ZDi Plus AMT,2018,975000,2812.5,sold,Diesel,Automatic,20.3,N/A
Audi,Q5 2.0 TDI,2011,1190000,109937.5,in stock,Diesel,Automatic,19.4,N/A
Honda,City V MT,2018,930000,9062.5,sold,Petrol,Manual,27.5,N/A
Tata,Tigor 1.2 Revotron XT,2018,525000,9375.0,sold,Petrol,Manual,32.9,N/A
Audi,A6 2.0 TDI  Design Edition,2013,1735000,31250.0,sold,Diesel,Automatic,29.4,N/A
Mercedes-Benz,New C-Class C 220 CDI Avantgarde,2012,1375000,21125.0,sold,Diesel,Automatic,24.9,N/A
Skoda,Superb Ambition 2.0 TDI CR AT,2011,450000,81500.0,in stock,Diesel,Automatic,30.2,N/A
Toyota,Corolla Altis G AT,2016,900000,31250.0,sold,Petrol,Automatic,22.5,N/A
Toyota,Innova 2.5 G (Diesel) 7 Seater,2015,1300000,50000.0,sold,Diesel,Manual,35.0,N/A
Jeep,Compass 1.4 Sport Plus BSIV,2019,1400000,6250.0,sold,Petrol,Manual,28.6,N/A
Mercedes-Benz,E-Class E 200 CGI Elegance,2010,850000,74375.0,sold,Petrol,Automatic,29.3,N/A
Hyundai,i10 Magna 1.1L,2014,229999,37500.0,sold,Petrol,Manual,23.9,N/A
BMW,3 Series 320d Sport Line,2013,1550000,47375.0,in stock,Diesel,Automatic,26.0,N/A
Audi,Q7 35 TDI Quattro Premium,2009,1250000,48750.0,sold,Diesel,Automatic,22.0,N/A
Hyundai,Elantra CRDi S,2012,625000,25000.0,sold,Diesel,Manual,15.0,N/A
Mahindra,Scorpio 1.99 S10,2014,1050000,31250.0,in stock,Diesel,Manual,16.6,N/A
Honda,City i DTEC V,2014,560000,46250.0,in stock,Diesel,Manual,18.3,N/A
Maruti,Wagon R VXI BS IV with ABS,2014,290000,40000.0,in stock,Petrol,Manual,17.0,N/A
Maruti,Wagon R VXI BS IV,2012,275000,37500.0,sold,Petrol,Manual,27.1,N/A
Mahindra,Scorpio LX,2009,411000,75000.0,sold,Diesel,Manual,16.6,N/A
Hyundai,Santro Xing GLS,2009,150000,49375.0,sold,Petrol,Manual,17.9,N/A
Hyundai,Grand i10 1.2 Kappa Asta,2019,500000,9375.0,sold,Petrol,Manual,28.6,N/A
Maruti,Alto LXi,2006,100000,50000.0,in stock,Petrol,Manual,24.4,N/A
Maruti,Swift Dzire VDI Optional,2017,725000,11562.5,sold,Diesel,Manual,19.6,N/A
Maruti,Eeco 5 Seater AC BSIV,2018,401000,6375.0,sold,Petrol,Manual,26.4,N/A
Hyundai,i20 Sportz 1.4 CRDi,2018,750000,18125.0,sold,Diesel,Manual,28.4,N/A
Maruti,Omni Maruti Omni MPI STD BSIII 5-STR W/ IMMOBILISER,2018,310000,17500.0,sold,Petrol,Manual,21.6,N/A
Maruti,Swift ZDi BSIV,2016,665000,28750.0,sold,Diesel,Manual,18.0,N/A
Hyundai,i20 2015-2017 Sportz Option 1.4 CRDi,2014,465000,43750.0,in stock,Diesel,Manual,24.0,N/A
Maruti,Alto LXi,2012,160000,37500.0,sold,Petrol,Manual,25.7,N/A
Mahindra,Jeep CL 500 MDI,1996,250000,21875.0,sold,Diesel,Manual,20.3,N/A
Honda,City i DTEC VX,2014,675000,56250.0,sold,Diesel,Manual,24.9,N/A
Maruti,Wagon R VXI BS IV,2013,300000,50000.0,sold,Petrol,Manual,34.8,N/A
Tata,Indica DLS,2005,70000,50000.0,in stock,Diesel,Manual,28.4,N/A
Hyundai,EON Magna Plus,2014,240000,45812.5,in stock,Petrol,Manual,25.8,N/A
Toyota,Etios GD,2014,525000,57500.0,sold,Diesel,Manual,23.1,N/A
Maruti,Alto LXi,2009,151000,41727.5,sold,Petrol,Manual,28.5,N/A
Maruti,Alto LXi,2009,140000,62500.0,sold,Petrol,Manual,26.0,N/A
Chevrolet,Tavera Neo LS B3 - 7(C) seats BSIII,2010,280000,218750.0,sold,Diesel,Manual,25.3,N/A
Toyota,Corolla Altis Diesel D4DG,2011,350000,143750.0,in stock,Diesel,Manual,30.1,N/A
Mahindra,Scorpio 1.99 S6 Plus,2017,570000,37500.0,sold,Diesel,Manual,27.8,N/A
Hyundai,EON Magna Plus,2018,300000,19375.0,sold,Petrol,Manual,24.5,N/A
Tata,Indigo Classic Dicor,2007,100000,24375.0,sold,Diesel,Manual,22.6,N/A
Toyota,Innova 2.5 V Diesel 8-seater,2009,500000,75000.0,sold,Diesel,Manual,28.8,N/A
Tata,Indica Vista Quadrajet LS,2014,125000,103750.0,sold,Diesel,Manual,22.4,N/A
Maruti,Swift 1.3 VXi,2006,130000,68750.0,sold,Petrol,Manual,25.9,N/A
Ford,EcoSport 1.5 Diesel Titanium BSIV,2017,925000,21875.0,sold,Diesel,Manual,18.0,N/A
Maruti,Ciaz 1.3 Delta,2018,750000,37500.0,sold,Diesel,Manual,24.1,N/A
Honda,Civic 1.8 V AT,2007,200000,33750.0,in stock,Petrol,Automatic,20.8,N/A
Hyundai,i10 Sportz 1.2,2010,248000,39375.0,sold,Petrol,Manual,25.2,N/A
Skoda,Rapid 1.5 TDI Elegance,2014,450000,75000.0,in stock,Diesel,Manual,29.5,N/A
Hyundai,Getz GLS,2005,80000,75000.0,sold,Petrol,Manual,23.0,N/A
Nissan,Terrano XL,2014,650000,47500.0,in stock,Petrol,Manual,27.4,N/A
Hyundai,Grand i10 CRDi Sportz,2015,450000,50000.0,sold,Diesel,Manual,19.7,N/A
Hyundai,Elite i20 Diesel Era,2019,650000,15625.0,sold,Diesel,Manual,23.2,N/A
Honda,Amaze S i-VTEC,2016,495000,7473.75,sold,Petrol,Manual,20.2,N/A
Honda,Brio S MT,2015,371000,12500.0,sold,Petrol,Manual,25.8,N/A
Hyundai,Creta 1.6 SX Option,2017,1025000,5625.0,sold,Petrol,Manual,20.1,N/A
Mercedes-Benz,S-Class S 350d Connoisseurs Edition,2017,8150000,4062.5,sold,Diesel,Automatic,29.9,N/A
Mahindra,XUV500 W8 2WD,2015,750000,43750.0,in stock,Diesel,Manual,22.2,N/A
Renault,Duster 85PS Diesel RxL Optional,2013,600000,75000.0,sold,Diesel,Manual,16.5,N/A
Hyundai,Santro Xing XO,2007,80000,36250.0,sold,Petrol,Manual,29.1,N/A
Mahindra,Bolero 2011-2019 SLE,2013,325000,38875.0,in stock,Diesel,Manual,24.5,N/A
Audi,A6 2.0 TDI Premium Plus,2014,1470000,21250.0,in stock,Diesel,Automatic,14.7,N/A
Fiat,Avventura MULTIJET Emotion,2015,350000,33125.0,sold,Diesel,Manual,31.0,N/A
Audi,A8 4.2 TDI,2013,2800000,30625.0,in stock,Diesel,Automatic,19.7,N/A
Datsun,RediGO 1.0 S,2017,210000,9375.0,sold,Petrol,Manual,27.9,N/A
Volkswagen,Jetta 1.4 TSI Comfortline,2013,450000,31250.0,sold,Petrol,Manual,27.6,N/A
Audi,A4 2.0 TDI 177 Bhp Premium Plus,2013,1150000,33125.0,sold,Diesel,Automatic,31.2,N/A
Honda,Civic 1.8 V AT,2009,210000,39687.5,in stock,Petrol,Automatic,20.4,N/A
Mercedes-Benz,E-Class Exclusive E 200 BSIV,2018,4500000,6125.0,in stock,Petrol,Automatic,35.3,N/A
BMW,X1 sDrive 20d xLine,2017,2750000,8125.0,sold,Diesel,Automatic,14.8,N/A
Volvo,V40 D3 R Design,2018,1975000,13125.0,in stock,Diesel,Automatic,26.0,N/A
Maruti,SX4 Zxi BSIII,2008,175000,18233.125,in stock,Petrol,Manual,22.0,N/A
BMW,7 Series 730Ld,2012,2500000,30000.0,in stock,Diesel,Automatic,27.0,N/A
Mahindra,Bolero Power Plus SLX,2017,628000,75000.0,sold,Diesel,Manual,20.8,N/A
Hyundai,Sonata CRDi M/T,2010,600000,62500.0,in stock,Diesel,Manual,28.2,N/A
Nissan,Micra Active XV Petrol,2017,399000,18750.0,in stock,Petrol,Manual,25.2,N/A
Mahindra,Xylo D4,2018,750000,54375.0,sold,Diesel,Manual,25.2,N/A
Hyundai,Elite i20 Sportz Plus Dual Tone BSIV,2019,750000,9375.0,sold,Petrol,Manual,22.9,N/A
Renault,KWID RXT,2017,315000,10000.0,sold,Petrol,Manual,22.1,N/A
Mahindra,Xylo E4 BS III,2012,600000,37500.0,sold,Diesel,Manual,33.9,N/A
Maruti,Wagon R LXI Minor,2010,100000,37500.0,sold,Petrol,Manual,22.9,N/A
Maruti,SX4 ZXI MT BSIV,2011,250000,68750.0,in stock,Petrol,Manual,17.8,N/A
Renault,KWID RXT,2017,350000,15625.0,sold,Petrol,Manual,28.0,N/A
Hyundai,Creta 1.4 CRDi S,2016,780000,37500.0,in stock,Diesel,Manual,21.5,N/A
Maruti,Swift Dzire VDI,2014,434000,49593.75,in stock,Diesel,Manual,18.6,N/A
Hyundai,Verna 1.6 VTVT AT S Option,2016,690000,50000.0,sold,Petrol,Automatic,21.2,N/A
Mahindra,Scorpio LX BSIV,2014,555000,56250.0,in stock,Diesel,Manual,25.3,N/A
Maruti,SX4 Vxi BSIII,2007,120000,56250.0,sold,Petrol,Manual,22.5,N/A
Maruti,Ertiga VDI,2014,500000,75000.0,in stock,Diesel,Manual,19.5,N/A
Chevrolet,Beat Diesel,2013,165000,37500.0,sold,Diesel,Manual,24.0,N/A
Maruti,Zen LX,2004,95000,31250.0,sold,Petrol,Manual,22.6,N/A
Maruti,Baleno Delta 1.2,2018,550000,12500.0,sold,Petrol,Manual,26.9,N/A
Maruti,Swift Vdi BSIII,2007,100000,68750.0,sold,Diesel,Manual,26.5,N/A
Tata,Nano Lx BSIV,2012,100000,31250.0,sold,Petrol,Manual,24.8,N/A
Toyota,Innova 2.5 GX (Diesel) 8 Seater,2012,500000,62500.0,sold,Diesel,Manual,27.8,N/A
Maruti,Ertiga SHVS VDI,2016,800000,43750.0,in stock,Diesel,Manual,15.5,N/A
Hyundai,Creta 1.6 CRDi SX,2016,840000,43750.0,sold,Diesel,Manual,24.8,N/A
Honda,Amaze S i-Vtech,2016,490000,31250.0,sold,Petrol,Manual,20.7,N/A
Tata,Indica Vista Aqua 1.4 TDI,2010,125000,50625.0,sold,Diesel,Manual,31.1,N/A
Chevrolet,Tavera Neo 2 LS B4 7 Str BSIII,2012,400000,75000.0,sold,Diesel,Manual,29.2,N/A
Chevrolet,Cruze LTZ,2015,1000000,2250.0,sold,Diesel,Manual,25.5,N/A
Ford,Figo Aspire 1.2 Ti-VCT Titanium Plus,2015,530000,8920.0,sold,Petrol,Manual,26.3,N/A
Ford,EcoSport 1.5 Diesel Titanium Plus BSIV,2017,840000,30758.125,sold,Diesel,Manual,30.3,N/A
Hyundai,i10 Sportz 1.1L,2015,229999,25000.0,sold,Petrol,Manual,21.5,N/A
Maruti,800 Std,1998,40000,25000.0,sold,Petrol,Manual,30.7,N/A
Chevrolet,Spark 1.0 LS,2012,130000,50000.0,sold,Petrol,Manual,34.7,N/A
Hyundai,EON Era Plus,2015,200000,43750.0,sold,Petrol,Manual,35.4,N/A
Tata,Indica Vista Aqua TDI BSIII,2011,120000,43750.0,sold,Diesel,Manual,33.0,N/A
Hyundai,Santro LP zipPlus,2003,75000,35625.0,sold,Petrol,Manual,23.9,N/A
Tata,Bolt Quadrajet XE,2016,250000,75000.0,sold,Diesel,Manual,19.8,N/A
Maruti,800 AC BSIII,2005,100000,18750.0,sold,Petrol,Manual,25.9,N/A
Hyundai,EON Era Plus,2013,280000,2025.0,sold,Petrol,Manual,29.2,N/A
Hyundai,i20 Magna 1.2,2015,540000,3125.0,in stock,Petrol,Manual,19.1,N/A
Hyundai,i20 1.2 Asta,2018,700000,6250.0,sold,Petrol,Manual,14.8,N/A
Maruti,Ciaz VDi Plus,2015,525000,62500.0,in stock,Diesel,Manual,14.7,N/A
Hyundai,i20 Asta 1.4 CRDi,2016,430000,50000.0,sold,Diesel,Manual,23.0,N/A
Hyundai,Santro LE,2002,65000,43750.0,sold,Petrol,Manual,31.0,N/A
Maruti,Vitara Brezza VDi,2018,800000,21875.0,sold,Diesel,Manual,30.5,N/A
Hyundai,Santro Xing XL eRLX Euro III,2007,75000,71250.0,sold,Petrol,Manual,23.2,N/A
Hyundai,Getz 1.3 GLS,2008,210000,33607.5,sold,Petrol,Manual,23.2,N/A
Mahindra,Quanto C8,2012,195000,87500.0,in stock,Diesel,Manual,22.6,N/A
Chevrolet,Tavera Neo 3 LS 7 C BSIII,2015,400000,75000.0,sold,Diesel,Manual,20.2,N/A
Hyundai,EON Magna Plus,2012,170000,37500.0,sold,Petrol,Manual,26.8,N/A
Renault,KWID RXT,2016,225000,15625.0,sold,Petrol,Manual,22.6,N/A
Maruti,Wagon R DUO LPG,2014,210000,56250.0,sold,LPG,Manual,24.9,N/A
Maruti,Wagon R LXI,2020,240000,75000.0,sold,Petrol,Manual,23.9,N/A
Chevrolet,Enjoy 1.3 TCDi LS 8,2015,300000,109375.0,sold,Diesel,Manual,30.1,N/A
Chevrolet,Spark 1.0 LS,2011,99000,62500.0,sold,Petrol,Manual,28.0,N/A
Honda,City i VTEC SV,2014,620000,22500.0,sold,Petrol,Manual,21.8,N/A
Honda,Amaze VX i-DTEC,2013,500000,18750.0,sold,Diesel,Manual,19.3,N/A
Jaguar,XJ 5.0 L V8 Supercharged,2010,2550000,25000.0,in stock,Petrol,Automatic,22.6,N/A
Honda,Brio E MT,2013,260000,43750.0,in stock,Petrol,Manual,18.1,N/A
Maruti,Swift VVT ZXI,2017,550000,37500.0,sold,Petrol,Manual,17.2,N/A
Tata,Indigo CR4,2011,150000,97187.5,sold,Diesel,Manual,32.6,N/A
Hyundai,i10 Asta AT,2011,350000,31250.0,sold,Petrol,Automatic,32.4,N/A
Chevrolet,Beat LT,2016,320000,25000.0,in stock,Petrol,Manual,24.4,N/A
Maruti,Swift VDI BSIV,2015,400000,62500.0,in stock,Diesel,Manual,24.5,N/A
Maruti,Alto LXi,2012,175000,50000.0,sold,Petrol,Manual,27.4,N/A
Chevrolet,Beat LT,2011,120000,56250.0,sold,Petrol,Manual,24.4,N/A
Renault,Duster 110PS Diesel RxZ,2013,320000,56250.0,sold,Diesel,Manual,24.6,N/A
Hyundai,Santro Xing XG,2006,70000,68750.0,sold,Petrol,Manual,17.2,N/A
Maruti,Swift Dzire ZXI Plus,2019,810000,9375.0,sold,Petrol,Manual,23.0,N/A
Maruti,800 AC,2007,95000,62500.0,sold,Petrol,Manual,21.6,N/A
Maruti,Alto K10 LXI CNG,2020,282000,25000.0,in stock,CNG,Manual,27.8,N/A
Maruti,800 Std BSII,2004,80000,37500.0,in stock,Petrol,Manual,17.7,N/A
Tata,Nano LX SE,2013,72000,15625.0,in stock,Petrol,Manual,15.6,N/A
Hyundai,i20 Magna 1.2,2016,600000,15625.0,sold,Petrol,Manual,18.5,N/A
Skoda,Rapid 1.6 MPI Ambition With Alloy Wheel,2015,640000,14375.0,sold,Petrol,Manual,28.9,N/A
Maruti,Alto K10 VXI,2018,380000,13846.875,sold,Petrol,Manual,21.4,N/A
Maruti,Ciaz 1.4 Delta,2018,650000,43750.0,sold,Petrol,Manual,22.2,N/A
Maruti,Alto LX,2009,150000,37500.0,in stock,Petrol,Manual,25.6,N/A
Hyundai,i20 Asta,2009,280000,68750.0,sold,Petrol,Manual,17.3,N/A
Tata,Nexon 1.2 Revotron XM,2018,430000,18750.0,in stock,Petrol,Manual,22.1,N/A
Mahindra,Bolero Power Plus SLX,2019,800000,9375.0,sold,Diesel,Manual,23.0,N/A
Maruti,Zen D,2003,75000,62500.0,in stock,Diesel,Manual,22.5,N/A
Volkswagen,Vento Celeste 1.5 TDI Highline AT,2016,650000,43750.0,in stock,Diesel,Automatic,22.0,N/A
Maruti,Eeco 7 Seater Standard BSIV,2017,390000,15000.0,sold,Petrol,Manual,28.3,N/A
Honda,City 1.5 EXI,2005,100000,75000.0,sold,Petrol,Manual,20.3,N/A
Mercedes-Benz,New C-Class 220 CDI AT,2013,1500000,21875.0,in stock,Diesel,Automatic,24.3,N/A
Maruti,SX4 Zxi with Leather BSIII,2007,175000,48987.5,sold,Petrol,Manual,23.1,N/A
Renault,Duster 110PS Diesel RxZ,2012,434999,68750.0,sold,Diesel,Manual,24.1,N/A
Ford,Figo Diesel Titanium,2010,170000,56250.0,in stock,Diesel,Manual,30.4,N/A
Ford,Figo Diesel Titanium,2011,190000,56250.0,sold,Diesel,Manual,30.7,N/A
Maruti,Swift Dzire VDi,2009,250000,93750.0,sold,Diesel,Manual,23.3,N/A
Mahindra,Xylo E4,2009,229999,143750.0,in stock,Diesel,Manual,29.8,N/A
